Column1,Column2,Column3,Column4,,,,,,,,,,,,Application Engineer - 3D Printing,https://northeastern-csm.symplicity.com/students/app/jobs/detail/98c530c682752b7a6e3278a4a8e60430,DesktopMetal Inc.
Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/30f0b4920abd16b9c662f15763066ee2,"Lutron Electronics Co., Inc.",https://northeastern-csm.symplicity.com/students/app/employers/75a6450f3773a296eb5f5fe71f0baaec/overview,,,,,,,,,,,,Mechanical Design Co-op (Product Development),https://northeastern-csm.symplicity.com/students/app/jobs/detail/a723744dae9067d9ed4d41caaa4963db,Fikst Product Development
Mechanical Design Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/d3722722f17c6d149bd10f1df23a9aeb,Lyndra,https://northeastern-csm.symplicity.com/students/app/employers/175bb6923b52beeaf583f1cc5b8f3c75/overview,,,,,,,,,,,,Mechanical Engineer 2023 Co-Op program,https://northeastern-csm.symplicity.com/students/app/jobs/detail/d8f963ff96a21639e3b1604d2dca7b88,"Droplette, Inc"
MS&T Engineering Co-op (Manufacturing Sciences& Technology),https://northeastern-csm.symplicity.com/students/app/jobs/detail/7f0112abbc8c7a7806b82be6e1c9894b,Lyndra,https://northeastern-csm.symplicity.com/students/app/employers/175bb6923b52beeaf583f1cc5b8f3c75/overview,,,,,,,,,,,,Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/30f0b4920abd16b9c662f15763066ee2,"Lutron Electronics Co., Inc."
Mechanical Engineering Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/8641ee11acbae6763a5b470f90d09e83,Massachusetts Materials Technologies (MMT) LLC / Materials Engineering Group (MEG),https://northeastern-csm.symplicity.com/students/app/employers/9e0f8dc8a3a2cd824c914db1f37eedb7/overview,,,,,,,,,,,,Mechanical prototype development engineer at a startup,https://northeastern-csm.symplicity.com/students/app/jobs/detail/16e2efff74dd621b62cf7e783fb46487,Mesodyne
Mechanical prototype development engineer at a startup,https://northeastern-csm.symplicity.com/students/app/jobs/detail/16e2efff74dd621b62cf7e783fb46487,Mesodyne,https://northeastern-csm.symplicity.com/students/app/employers/3d290c726e7fe00417f64a61dda05839/overview,,,,,,,,,,,,Mechatronics R&D engineer at an energy startup,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f2d2508aaf7179677ca3c1abc8b10702,Mesodyne
Mechatronics R&D engineer at an energy startup,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f2d2508aaf7179677ca3c1abc8b10702,Mesodyne,https://northeastern-csm.symplicity.com/students/app/employers/3d290c726e7fe00417f64a61dda05839/overview,,,,,,,,,,,,"Product Design, Mechanical Eng. & Materials Internship",https://northeastern-csm.symplicity.com/students/app/jobs/detail/08a70ea0706d11e6c9b92f41db68e59b,Apple
Mechanical Engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f1644d31d412b6a64869994293b3b0ce,MORSE,https://northeastern-csm.symplicity.com/students/app/employers/2a0261680bc44327b7c3069f20d8cb16/overview,,,,,,,,,,,,Product Development Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/8876c6e833ac0b04ee7bd1e61336e5fb,Paragon Medical
Product Development Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/ed8fba1ffc3c1a0ffa4196e6132285d8,Neptune Medical,https://northeastern-csm.symplicity.com/students/app/employers/a14319aca56fb97e38756d3e9c209884/overview,,,,,,,,,,,,Disney Professional Internships,https://northeastern-csm.symplicity.com/students/app/jobs/detail/4669305447b0b126f331a914c8c52493,The Walt Disney Company
ME Coop at a Deep Tech Wireless Startup,https://northeastern-csm.symplicity.com/students/app/jobs/detail/aea81acf804824bf79ca5031603bf543,Notch Inc.,https://northeastern-csm.symplicity.com/students/app/employers/5706d741b4b0601946c1fda08fac268e/overview,,,,,,,,,,,,Mechanical Engineering co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/3a07721ce8064999de0989764f5b4b0a,Infinite Cooling
Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/8708717368cbaf73be35d77bdb80e3ab,Novatio Engineering Incorporated,https://northeastern-csm.symplicity.com/students/app/employers/0de6b4a5dd68f1ebd8f044b0c57a4b1c/overview,,,,,,,,,,,,Research Associate Co-op (Biomechanics),https://northeastern-csm.symplicity.com/students/app/jobs/detail/af99fe534a5990e85cbdcfe37cd73aa9,Beth Israel Deaconess Medical Center
Product Development Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/8876c6e833ac0b04ee7bd1e61336e5fb,Paragon Medical,https://northeastern-csm.symplicity.com/students/app/employers/8a5b3fce99fade2cd0829711b2d29961/overview,,,,,,,,,,,,Industrial / Mechanical Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/e80bd317440ad305bcf43c65d0680f49,Burn Design Lab
Medical Device Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/35acdf556bb542b536b460d14251a4f1,Paragonix Technologies,https://northeastern-csm.symplicity.com/students/app/employers/3e1bf9ff499ff4aeae6c5f300984ed52/overview,,,,,,,,,,,,"Engineering/Manufacturing Summer/Fall 2023 Co-op (Essex, VT)",https://northeastern-csm.symplicity.com/students/app/jobs/detail/e8d5afcf9e37f04617cc845fab957d2b,Keurig Dr Pepper
Mechanical Engineering Co-op - Seed stage startup,https://northeastern-csm.symplicity.com/students/app/jobs/detail/2ccd4a4ea80df4b9ec8d54b6cbdff757,Parallel Fluidics,https://northeastern-csm.symplicity.com/students/app/employers/714e4ecc7169ff0ef28b7756eb5b376a/overview,,,,,,,,,,,,Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/5108e27433a6ff91df44a42e44509e04,"Coravin, Inc."
Medical Device R&D Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/dd01699495c22c29e62e25d198ccc74f,Podimetrics,https://northeastern-csm.symplicity.com/students/app/employers/73d31f4194c815da2a7a90bab116b390/overview,,,,,,,,,,,,MechE/BioE Intern  Development Engineering - Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6aa7d76ad28f33f1691917b54f39a6a7,"Transmedics, Inc."
Mechanical Engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/cdf659116dad815d9a0857c79d4a395e,"Primaira, LLC",https://northeastern-csm.symplicity.com/students/app/employers/f915dc274b7948ac521ebd4a69c7e0b7/overview,,,,,,,,,,,,Instrumentation & Laser Engineering,https://northeastern-csm.symplicity.com/students/app/jobs/detail/b742f7166f87bccb1644b51af3ebebd6,Procter & Gamble (P&G)
Instrumentation & Laser Engineering,https://northeastern-csm.symplicity.com/students/app/jobs/detail/b742f7166f87bccb1644b51af3ebebd6,Procter & Gamble (P&G),https://northeastern-csm.symplicity.com/students/app/employers/d0d51df923f395f5eb457dd2c44016be/overview,,,,,,,,,,,,Mechanical Design Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/d3722722f17c6d149bd10f1df23a9aeb,Lyndra
Engineering Co-op (Automotive) - Air & fluid moving products,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6d5c9a81095f88c2d65ead5aec108baf,Robert Bosch LLC,https://northeastern-csm.symplicity.com/students/app/employers/91fc4f63a46e06d1606eef730919ba01/overview,,,,,,,,,,,,Mechanical Engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/cdf659116dad815d9a0857c79d4a395e,"Primaira, LLC"
(Fall) Product Development Co-op: June to December 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/550a542e312fa2455e5ced40f814edd6,SharkNinja Operating LLC,https://northeastern-csm.symplicity.com/students/app/employers/246b5fd2aa1b6a78db9d321a61779530/overview,,,,,,,,,,,,Mechanical Engineer (Co-op),https://northeastern-csm.symplicity.com/students/app/jobs/detail/7d577ebf81cdd9e3477c54a54cda4db5,"Delsys, Inc"
(Fall) Quality Engineer Co-op: June to December 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/b8351cac2065138681353296540b20bb,SharkNinja Operating LLC,https://northeastern-csm.symplicity.com/students/app/employers/246b5fd2aa1b6a78db9d321a61779530/overview,,,,,,,,,,,,Mechanical Engineering Co-op (Product Development),https://northeastern-csm.symplicity.com/students/app/jobs/detail/d26428e1e74964233f020329993fcb70,Acorn Product Development
Additive Manufacturing Technician,https://northeastern-csm.symplicity.com/students/app/jobs/detail/ff4d12c78426e782b16d49670a96ac33,SI2 Technologies,https://northeastern-csm.symplicity.com/students/app/employers/547030b5501538662019fc4dcba7f6f0/overview,,,,,,,,,,,,"Mechanical Engineering Co-op, Product Development",https://northeastern-csm.symplicity.com/students/app/jobs/detail/ce626147216ab51d3dd8e9acba21b38d,"Emphysys, Inc."
Mechanical Engineering Coop - Boston,https://northeastern-csm.symplicity.com/students/app/jobs/detail/542b6af0a540ccd3cc509375c00afef0,"Sonos, Inc.",https://northeastern-csm.symplicity.com/students/app/employers/0f18279218a5f97d9865d78fefdf7653/overview,,,,,,,,,,,,MS&T Engineering Co-op (Manufacturing Sciences& Technology),https://northeastern-csm.symplicity.com/students/app/jobs/detail/7f0112abbc8c7a7806b82be6e1c9894b,Lyndra
FALL 2023 ENGINEERING INTERNSHIP/CO-OP,https://northeastern-csm.symplicity.com/students/app/jobs/detail/b3f06267f24cd8c63553f659e7e9845e,SpaceX,https://northeastern-csm.symplicity.com/students/app/employers/06c8fad67e7b71c8d133f40c9993d095/overview,,,,,,,,,,,,"Co-op, Mechanical Design Engineering",https://northeastern-csm.symplicity.com/students/app/jobs/detail/1591682a41595a0ff52f08903de82097,Insulet Corporation
Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/5f38929cf85ac06bb9ac619c84c6b59f,Square Robot Inc.,https://northeastern-csm.symplicity.com/students/app/employers/99909cbe8fe01f7db2418c2ab9fcdd65/overview,,,,,,,,,,,,"Co-op, Post Market Engineer ",https://northeastern-csm.symplicity.com/students/app/jobs/detail/b2bba4686d8c424eb66356f4552304b9,Insulet Corporation
Tesla Internship Program - Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/3217920bdc5997c7a54250e899f701c9,"Tesla, Inc.",https://northeastern-csm.symplicity.com/students/app/employers/d05597254bbabb15f06aa206a321da1a/overview,,,,,,,,,,,,ME Coop at a Deep Tech Wireless Startup,https://northeastern-csm.symplicity.com/students/app/jobs/detail/aea81acf804824bf79ca5031603bf543,Notch Inc.
"Co-op, Protein Sciences",https://northeastern-csm.symplicity.com/students/app/jobs/detail/821b8caa2bd80c32880902ebc76a6eb0,Tessera Therapeutics,https://northeastern-csm.symplicity.com/students/app/employers/e5c86aa37b2c9c80f0a551863d466fb1/overview,,,,,,,,,,,,Mechanical Engineering Co-op ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/1f07f720c66a9fb502fb52a0bcc97a03,"24m Technologies, Inc."
2023 Fall Co-Op - Mechanical Engineer (Weapons) - Wilmington,https://northeastern-csm.symplicity.com/students/app/jobs/detail/9f59481b569b947e01ec5e42077abb86,Textron Systems,https://northeastern-csm.symplicity.com/students/app/employers/acdb8b3cc1bb0df554307a8ddb75f5df/overview,,,,,,,,,,,,FALL 2023 ENGINEERING INTERNSHIP/CO-OP,https://northeastern-csm.symplicity.com/students/app/jobs/detail/b3f06267f24cd8c63553f659e7e9845e,SpaceX
"2023 Fall Co-Op - Aerospace Engineer (Weapons) - Wilmington,",https://northeastern-csm.symplicity.com/students/app/jobs/detail/2410fb87041590906c39b305b8998eca,Textron Systems,https://northeastern-csm.symplicity.com/students/app/employers/acdb8b3cc1bb0df554307a8ddb75f5df/overview,,,,,,,,,,,,Metal Additive Manufacturing Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/af5d087de7d15dcf00739b5eea6d400a,HRL Laboratories LLC
Flying Drones into Whales - Mechatronics Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/24b580e63724d218c33dd3e1ffd53b1f,The Harvard John A. Paulson School of Engineering and Applied Sciences (SEAS) ,https://northeastern-csm.symplicity.com/students/app/employers/d6ca54999f6dcff0cdecacf1b49c4679/overview,,,,,,,,,,,,R&D Engineer Co-op Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f333fa3131a4625d0b42540c3705734a,"Allurion Technologies, Inc."
Disney Professional Internships,https://northeastern-csm.symplicity.com/students/app/jobs/detail/4669305447b0b126f331a914c8c52493,The Walt Disney Company,https://northeastern-csm.symplicity.com/students/app/employers/4ae6129dd69aff2aceac9996cee4a31a/overview,,,,,,,,,,,,Mechanical Design Co-op (Chassis Team),https://northeastern-csm.symplicity.com/students/app/jobs/detail/1385fce33c0b96a47a4aae16ede3b390,Indigo Technologies
MechE/BioE Intern  Development Engineering - Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6aa7d76ad28f33f1691917b54f39a6a7,"Transmedics, Inc.",https://northeastern-csm.symplicity.com/students/app/employers/8c3a6b5847c8a52ed4c67ff757203949/overview,,,,,,,,,,,,Materials Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/8cbfb6bd8f53182bbefecb665352adca,Fortify
Spacecraft Engineering Co-op/Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/ea2b04eda8bfc9466939a930fac27cec,Varda Space Industries,https://northeastern-csm.symplicity.com/students/app/employers/120d6cb072dcbc12ced7cd117bc415f7/overview,,,,,,,,,,,,Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/054625a4af9c767d7be32ef15b286bb4,Fortify
Mechanical Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/9097dc964fc00074667102e8391eef44,Whoop Inc.,https://northeastern-csm.symplicity.com/students/app/employers/074102d554f2da867d253d25c7e3513a/overview,,,,,,,,,,,,Underwater Mobile Robotics Co-op @ Bluetech Robotics ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/2609f4fa859f88c5e2df2a7eb33e3bee,Bluetech Robotics
Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/65c016df0883913ab9d54e749627b5ce,YourBio Health,https://northeastern-csm.symplicity.com/students/app/employers/63696a9f33dd43074d5ff209dc5fd872/overview,,,,,,,,,,,,,,
